Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
WhirlWind (Seabreeze),"1,391 ft (424 m)",37.3 mph (60.0 km/h),Seabreeze Amusement Park,Operating,Maurer AG,122,2004,43.234,-77.5429,Steel,2004-01-01,37.3,,0,
Atlantica SuperSplash,"390 m (1,280 ft)",80 km/h (50 mph),Europa Park,,Mack Rides,100,2005,48.2622,7.7211,Other,2005-03-19,49.7,98.4,0,4.0
Bat (Lagoon),"342 m (1,122 ft)",,Lagoon Amusement Park,Operating,Vekoma,107,2005,40.9862,-111.8926,Steel,2005-04-16,,48.6,0,2.2
Cobra (PowerPark),935 ft (285 m),47 mph (76 km/h),PowerPark,Operating,Vekoma,130,2005,63.2298,22.8587,Steel,2005-01-01,47.0,,3,5.2
Fairly Odd Coaster (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Carowinds,Operating,Philadelphia Toboggan Coasters,102,2005,35.101,-80.9394,Wood,1975-01-01,36.0,,0,
Frankie's Mine Train,262.5 ft (80.0 m),,Other,,Zamperla,0,2005,,,Steel,,,,0,
G Force (roller coaster),"1,263 ft (385 m)",43.5 mph (70.0 km/h),Drayton Manor Theme Park,Removed,Maurer AG,135,2005,52.6128,-1.7147,Other,2005-07-26,43.5,,3,4.3
Hades 360,"4,746 ft (1,447 m)",60 mph (97 km/h),Mt. Olympus Water & Theme Park,Operating,The Gravity Group,122,2005,43.617,-89.7893,Wood,2013-05-14,60.0,,1,3.5
Hydra the Revenge,"3,198 ft (975 m)",53 mph (85 km/h),Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,137,2005,40.581,-75.5325,Steel,2005-05-07,53.0,,7,
Italian Job: Stunt Track (Canada's Wonderland),"1,960 ft (600 m)",40 mph (64 km/h),Other,,Premier Rides,122,2005,,,Steel,,40.0,,0,
Italian Job: Stunt Track (Kings Island),"1,960 ft (600 m)",40 mph (64 km/h),Other,,Premier Rides,122,2005,,,Steel,,40.0,,0,
Kanonen,"440 m (1,440 ft)",75 km/h (47 mph),Liseberg,Removed,Intamin,140,2005,57.6933,11.9954,Steel,2005-04-23,46.6,78.7,2,
Kingda Ka,"3,118 ft (950 m)",128 mph (206 km/h),Six Flags Great Adventure,Operating,Intamin,137,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,
Pandemonium (roller coaster),"1,351 ft (412 m)",31 mph (50 km/h),Other,,Gerstlauer,107,2005,,,Steel,,31.0,,0,
Raging Spirits,"600 m (2,000 ft)",60 km/h (37 mph),Tokyo DisneySea,Operating,Intamin,117,2005,35.6277,139.8808,Steel,2005-07-21,37.3,,1,
Rita (roller coaster),"640 m (2,100 ft)",98.3 km/h (61.1 mph),Alton Towers,Operating,Intamin,140,2005,52.985,-1.8905,Steel,2005-04-01,61.1,60.4,0,4.7
Sequoia Adventure,,,Gardaland,Closed,S&S - Sansei Technologies,140,2005,45.457,10.7076,Steel,2005-04-30,,,3,
SheiKra,"3,188 ft (972 m)",70 mph (110 km/h),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,137,2005,28.0367,-82.4244,Steel,2005-05-21,70.0,,1,4.0
Space Mountain: Mission 2,"3,281 ft (1,000 m)",44 mph (71 km/h),Disneyland Park (Paris),Operating,Vekoma,120,2005,48.8741,2.7793,Steel,2017-05-07,44.0,,3,
